ID,album,year,tracknum,title,writers,length,lengthS,lyrics,
1,Identity Crisis,2000,1,Identity Crisis,Dustin Kensrue,2M 58S,178S,"Image marred by self-infliction <br>  Private wars on my soul waged <br>  Heart is scarred by dual volitions <br>  Juxtaposed and both engaged <br>  Kindle flame, a test of faith <br>  Pray help me see it through <br>  I put all my trust in you <br>  Refine hate and love <br>  Fall afresh on me <br>  End this crisis of <br>  Identity <br>  Draw this darkness out like poison <br>  Stab, retrieve, again decline <br>  Help me drive the dagger deeper <br>  Trace with me explicit line <br>  Take this blade, a test of faith, <br>  And strike me deep and true <br>  I put all my trust in you <br>  Fall afresh on me <br>  End this crisis of <br>  Identity <br>  This is my voice, all shadows stayed this is my heart, upon the altar laid <br>  Please take all else away, hear my cry, I beg, I plead, I pray <br>  I'll walk into the flame, a calculated risk to further bless your name <br>  So strike me deep and true, and in your strength I will live and die both unto you. ",<br>
2,Identity Crisis,2000,2,Phoenix Ignition,Dustin Kensrue,3M 31S,211S,"Like a phoenix ignition <br>  like a crematorium <br>  Like a swelling volition <br>  from the barrel of a gun <br> From the ashes and the embers <br> like a rocket I'll ascend <br> Like a cry gone up for a fallen friend <br> Like a cry gone up for a fallen.. <br> Like a phoenix ignition <br> like a crematorium <br> Like a swelling volition <br> from the barrel of a gun <br> From the ashes and the embers <br> like a rocket I'll ascend <br> Like a cry gone up for a fallen friend <br> I'LL ASCEND <br> everyday tear down the walls <br> till cornerstones remain <br> Coming one step closer all the time <br> And although we'll never reach perfection, always persist to try <br> No regrets, just rebirth <br> move forward, and ignite. <br> Incandescent Reinvention <br> a new renaissance <br> a new fire each day <br> a new fire each day...day...day!
",
3,Identity Crisis,2000,3,In Your Hands,Riley Breckenridge,2M 47S,167S,"
bound to this couch, i lie in waiting <br> watching wind blown memories slip by my window sill <br> i can't fall asleep, voice in my head disturbs me <br> waking nightmares keep, have my cries fallen on deaf ears <br> can you hear me or am i.... <br> talking to myself again, is there anybody listening <br> are you taking this in, am i wasting my breath <br> tell me, is the wind in your sails worth everything you give <br> are you looking for something, forgiveness <br> i leave it up to you, i guess i'm better off removed <br> because the situtations growing too thick, <br> in your hands <br> could it have been something i said, <br> or was it something that i did <br> did i ruin my chance, have you written me off <br> tell me where did i cross the line, <br> and can i work my way back this time <br>  will i always regret this decision <br> i leave it up to you, <br> i hope you find a good excuse because <br> i've given about all that i can give, <br> in your hands <br> are you taking this in, am i wasting my breath <br> did i ruin my chance, have you written me off <br> i could try to count the times that i've been through this in my mind, <br> but i'm running out of fingers and i don't have that much time <br> are you taking this in, am i wasting my breath <br> did i ruin my chance, have you written me off ",
4,Identity Crisis,2000,4,To What End,Dustin Kensrue,3M 4S,184S,To what end! <br> To what end do we <br> proceed so boldly <br> if all we are is <br> chemical reactions <br> and what world have you <br> so deftly sold me <br> if you reduce me <br> if I have no soul to touch <br> no heart to love <br> no evil to rise up above <br> no angels and no ghosts <br> no real victories to toast <br> if you believe that this is true <br> then I must ask <br> to what end do you proceed? <br> no fire in our eyes <br> no steel in our hearts <br> no magic in our songs <br>  are we just empty vessels <br> No fire in our eyes <br> No steel in our hearts <br> No magic in our songs <br> and you tell me... <br> I have no soul to touch <br> no heart to love <br> no evil to rise up above <br> no angels and no ghosts <br> no real victories to toast <br> if you believe that this is true <br> then I must ask <br> to what end do you proceed? <br> Did I not feel your love? <br> Did I not feel your hate? <br>  And did my heart not beat <br> and did MY HEART NOT BREAK?! <br> And are these tears for naught <br> and are these worlds in vain <br> if this is all we are then what <br> have we to gain! <br> What of all the art and books <br> music and poetry <br> What of all our memories <br> What of our hopes and dreams! <br> They hold no value then <br> We hold no faith but greed <br> So I must ask you <br> to what end do we proceed? ,
5,Identity Crisis,2000,5,Ultra Blue,Dustin Kensrue,3M 2S,182S,"Unabashedly pursue, <br> the truth that we cannot deny <br> A revelation shining through, <br> orchestration Adonai <br> A revolution ultra-blue, <br> and a melodic battle cry <br> And though some say there'll be no coup, <br> we'll never know unless we <br> Try to see it through, <br> and find a different point of view, <br> one where faith is not taboo <br> And we'll all learn to see the world as new <br> Sometimes things we've held as true <br> proved to be an outright lie <br> But it seems we always knew, <br> in some unspoken lullaby <br> I'll see you at the rendezvous, <br> we'll raise our voices to the sky <br> And though some say there'll be no coup, <br> we'll never know unless we <br> Try to see it through, <br> and find a different point of view, <br> one where faith is not taboo <br> And we'll all learn to see the world as new <br> Revolution ultra-blue",
6,Identity Crisis,2000,6,As The Ruin Falls,Dustin Kensrue,2M 4S,124S,"Only now that you have taught me <br> but how late, my lack <br> I see the chasm <br> and everything you are was making <br> my heart into a bridge <br> by which I might get back <br> from exile and grow man <br> and now the bridge is breaking <br> for this I bless you as the ruin falls <br> the pain you bring <br> far greater than all other gain ",
7,Identity Crisis,2000,7,The Next Day,Dustin Kensrue,0M 57S,57S,,
8,Identity Crisis,2000,8,A Torch To End All Torches,Dustin Kensrue,4M 10S,250S,"Misguided satellite <br>  I circle by habit, <br> can't find my orbit to save my life <br> I want to fall, <br> I want to burn, <br> like an ignorant craterless meteorite <br> Long ago I was derailed, <br> long ago the mission failed <br> but in the distance there appears a light <br> Disgruntled architect <br> building a palace <br> cant make it perfect to save my life <br> victimless crime ride the wrecking ball in <br> evacuate now while I breathe dynamite <br> Efforts all to no avail <br> I'm perfection's countervail <br> torn in pieces, I am made contrite <br> And in my darkest hour <br> the brightest light draws near to me <br> a torch to end all torches, <br> this is the light that sets me free <br> all shadows burn away now <br> but by his grace I am sustained <br> though all was lost, <br> now all is found and more is gained <br> Lift me up and make me whole <br> Instill in me a new hope <br> Breathe new life into my soul ",
9,Identity Crisis,2000,9,Unquestioned Answers,Dustin Kensrue,4M 23S,263S,"Your traps are all baited <br> your scales are all weighted <br> but not resisting you would surely drive me insane <br> so im caught and convicted, <br> my rights are restricted <br> the imbecile dynasty continues to reign <br> your apathy of thought <br> has lead you to believe <br> that things are what they're not <br> my friend you've been decieved <br> the easiest route rarely leads to the truth <br> i see the self approval glaze your eyes <br> you know you're right <br> no need to worry why <br> a thousand stones remain unturned <br> in the wake of your unquestioned answers <br> and truth covered lies <br> traditions some bear <br> idly without out a care <br> but are determined that they stand unchanged <br> and those who choose to rebel <br> just to raise up some hell <br> tell me what are you hoping to gain <br> i cant reason with you <br> i speak words you can't hear <br> social conditioning left you with deafened ears <br> so i take your face in hand <br> see that look in your eyes <br> that rigormortis stare, <br> that look that i despise <br> and so i turn from you <br> i walk these streets alone <br> alone i search for truth <br> ideal that you've disowned <br> and wait with fingers crossed <br> and pray you'll someday find <br> a way to see things though your own eyes",
10,Identity Crisis,2000,10,Under Par,"Ian Stift, Dustin Kensrue",4M 46S,286S,"It's my life! <br> you set the bar too high <br> your expectations have become my failure <br> a shell you see so shallow but deep inside (deep inside) <br> my heart beats just the same as yours <br> the same blood through these clean veins <br> can't you see that I'm in pain <br> it seems my life is always under par <br> what can I say to change your mind about what I am <br> others can see what was hidden from your sight <br> a kid with courage and heart and his eyes open wide <br> an inner beauty and a bright light <br> my focus is not yours <br> I set my sights on new horizons and let my soul have scope <br> can't you see that I have my own dreams (my own dreams) <br> and though they're not the same as yours <br> they hold value to me, tell me why can't you see <br> I'm not the means to mend your past regrets <br> what can I say to change your mind about what I am <br> others can see what was hidden from your sight <br> a kid with courage and heart and his eyes open wide <br> an inner beauty and a bright light <br> judged for how I look, not for the good that I have done <br> I try the best I can, but it seems that I'm not the perfect son <br> shaped by God, and my volition <br> and the seeds that you have sown
but I ask you once again <br> when does my life become my own? <br> I have my own! <br> Let's go! <br> My own... <br> what can I say to change your mind about what I am <br> others can see what was hidden from your sight <br> a kid with courage and heart and his eyes open wide <br> an inner beauty and a bright light",
